States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Nagaland,25,40,30,80,80,65,75,60,50,50,0,0,0,0,0,0,60,200,10,15,50,40,4/1/2018
Odisha,25.5,0,23.25,61,64,58.75,69.5,50.25,40,34,0,97.5,73.5,84.5,92,78,41.25,180,17,8.25,42.5,19,4/1/2018
Puducherry,32,34,28,76,76,80,0,55,38,36,126,132,100,0,88,74,50,250,17,20,40,10,4/1/2018
Punjab,32,19.33,23,75.67,82,77.33,79.33,71.67,40.67,46.67,148.67,97.33,84.67,90.67,102,0,46.33,205,18,12,45,28.33,4/1/2018
Rajasthan,28,18,21.33,66.67,60.67,60,58,51.33,41.33,38.67,120.33,94.67,67.67,77.67,93.33,0,38.67,207.67,14.33,9.33,31.67,16.67,4/1/2018
Sikkim,0,21,0,76,0,100,0,75,48,47,0,120,76,106,120,0,0,0,16,19,50,35,4/1/2018
Tamil Nadu,36.2,30.8,30.25,73.6,72,76,74.5,59.5,39.4,36,134,114.5,92.6,90,91.8,72.6,54,220,17,18.6,42,9.8,4/1/2018
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,17,4/1/2018
Tripura,31,0,31,78,0,80,76,69,47,40,0,117,70,103,0,0,53,178,19,19,54,50,4/1/2018
Uttar Pradesh,24.25,18.13,21.38,67.13,66,64.13,67.75,55.63,40.5,48.38,129.43,104.25,81,92.29,107.71,77,39.25,196.88,15.88,10,40.38,24.25,4/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,21.25,50,41.75,4/1/2018
